"","W19009-15","W19009-22","W19009-26","W19012-12","W19013-4","W19016-5","W19020-20","W19022-9","W19023-24","W19024-15","W19024-20","W19026-12","W19026-21","W19027-4","W19027-40","W19028-2","W19028-23","W19029-14","W19031-1","W19031-14","W19031-8","W20001-15","W20001-20","W20001-28","W20001-29","W20001-7","W20002-4","W20003-14","W20003-18","W20003-34","W20003-39","W20004-20","W20004-26","W20004-37","W20004-39","W20005-13","W20005-17","W20005-23","W20005-28","W20005-4","W20005-7","W20006-2","W20012-1","W20012-8","W20015-11","W20015-27","W20016-3","W20017-15","W20017-17","W20017-28","W20017-3","W20017-32","W20017-8","W20019-1","W20020-1","W20020-12","W20020-16","W20022-2","W20022-5","W20022-8","W20023-10","W20023-12","W20023-2","W20023-7","W20024-1","W20024-12","W20024-15","W20029-1","W20031-13","W20031-16","W20031-22","W20031-24","W20031-31","W20031-37","W20031-42","W20031-64","W20031-67","W20032-18","W20032-30","W20032-31","W20033-4","W20034-11","W20034-13","W20034-7","W20035-25","W20035-33","W20035-5","W20036-14","W20036-38","W20036-8","W20038-19","W20038-6","W20038-63"
"W19009-15",0.2631,0.1388,0.1388,0.0337,0.091,0.0736,0.0367,0.0939,0.0311,0.0409,0.0409,0.0439,0.0439,0.0884,0.0884,0.0812,0.0812,0.0285,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.057,0.057,0.057,0.057,0.057,0.0285,0.0285,0.0285,0.0285,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0473,0.0288,0.0288,0.0465,0.0465,0.0466,0.0504,0.0533,0.0504,0.0533,0.0504,0.0533,0.0547,0.0457,0.0457,0.0457,0.0409,0.0409,0.0409,0.0411,0.0411,0.0411,0.0411,0.0478,0.0478,0.0478,0.0255,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0262,0.0315,0.0262,0.056,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0481,0.0481,0.0481
"W19009-22",0.1388,0.2631,0.1388,0.0337,0.091,0.0736,0.0367,0.0939,0.0311,0.0409,0.0409,0.0439,0.0439,0.0884,0.0884,0.0812,0.0812,0.0285,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.057,0.057,0.057,0.057,0.057,0.0285,0.0285,0.0285,0.0285,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0473,0.0288,0.0288,0.0465,0.0465,0.0466,0.0504,0.0533,0.0504,0.0533,0.0504,0.0533,0.0547,0.0457,0.0457,0.0457,0.0409,0.0409,0.0409,0.0411,0.0411,0.0411,0.0411,0.0478,0.0478,0.0478,0.0255,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0262,0.0315,0.0262,0.056,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0481,0.0481,0.0481
"W19009-26",0.1388,0.1388,0.2631,0.0337,0.091,0.0736,0.0367,0.0939,0.0311,0.0409,0.0409,0.0439,0.0439,0.0884,0.0884,0.0812,0.0812,0.0285,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.057,0.057,0.057,0.057,0.057,0.0285,0.0285,0.0285,0.0285,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0473,0.0288,0.0288,0.0465,0.0465,0.0466,0.0504,0.0533,0.0504,0.0533,0.0504,0.0533,0.0547,0.0457,0.0457,0.0457,0.0409,0.0409,0.0409,0.0411,0.0411,0.0411,0.0411,0.0478,0.0478,0.0478,0.0255,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,0.0262,0.0315,0.0262,0.056,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0629,0.0481,0.0481,0.0481
"W19012-12",0.0337,0.0337,0.0337,0.2591,0.0937,0.0325,0.0964,0.0549,0.0802,0.082,0.082,0.0432,0.0432,0.0386,0.0386,0.0919,0.0919,0.01,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0309,0.0309,0.0309,0.0309,0.0309,0.0309,0.0881,0.0162,0.0162,0.0982,0.0982,0.0373,0.0799,0.0411,0.0799,0.0411,0.0799,0.0411,0.0248,0.0266,0.0266,0.0266,0.082,0.082,0.082,0.021,0.021,0.021,0.021,0.0248,0.0248,0.0248,0.0196,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0251,0.0135,0.0251,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0244,0.0244,0.0244
"W19013-4",0.091,0.091,0.091,0.0937,0.2896,0.0906,0.0336,0.1057,0.028,0.1019,0.1019,0.0418,0.0418,0.1001,0.1001,0.0919,0.0919,0.013,0.0339,0.0339,0.0339,0.0339,0.0339,0.0339,0.0339,0.0339,0.026,0.026,0.026,0.026,0.026,0.013,0.013,0.013,0.013,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.1087,0.0148,0.0148,0.1075,0.1075,0.0292,0.0945,0.0345,0.0945,0.0345,0.0945,0.0345,0.0314,0.0281,0.0281,0.0281,0.1019,0.1019,0.1019,0.0236,0.0236,0.0236,0.0236,0.0288,0.0288,0.0288,0.025,0.0418,0.0418,0.0418,0.0418,0.0418,0.0418,0.0418,0.0418,0.0418,0.0324,0.0134,0.0324,0.0624,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.0367,0.0367,0.0367
"W19016-5",0.0736,0.0736,0.0736,0.0325,0.0906,0.2565,0.0275,0.0856,0.0297,0.0462,0.0462,0.0413,0.0413,0.0878,0.0878,0.0741,0.0741,0.0127,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289,0.0254,0.0254,0.0254,0.0254,0.0254,0.0127,0.0127,0.0127,0.0127,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0442,0.0268,0.0268,0.044,0.044,0.0241,0.0333,0.0284,0.0333,0.0284,0.0333,0.0284,0.0286,0.0233,0.0233,0.0233,0.0462,0.0462,0.0462,0.0263,0.0263,0.0263,0.0263,0.0306,0.0306,0.0306,0.0197,0.0413,0.0413,0.0413,0.0413,0.0413,0.0413,0.0413,0.0413,0.0413,0.0502,0.0109,0.0502,0.058,0.0561,0.0561,0.0561,0.0561,0.0561,0.0561,0.0561,0.0561,0.0561,0.0327,0.0327,0.0327
"W19020-20",0.0367,0.0367,0.0367,0.0964,0.0336,0.0275,0.3002,0.1162,0.106,0.0331,0.0331,0.1156,0.1156,0.0432,0.0432,0.1065,0.1065,0.0133,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196,0.0265,0.0265,0.0265,0.0265,0.0265,0.0133,0.0133,0.0133,0.0133,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583,0.0477,0.0234,0.0234,0.1061,0.1061,0.1093,0.0341,0.1166,0.0341,0.1166,0.0341,0.1166,0.0454,0.0593,0.0593,0.0593,0.0331,0.0331,0.0331,0.0363,0.0363,0.0363,0.0363,0.0436,0.0436,0.0436,0.036,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.1156,0.0308,0.0264,0.0308,0.0364,0.0381,0.0381,0.0381,0.0381,0.0381,0.0381,0.0381,0.0381,0.0381,0.0505,0.0505,0.0505
"W19022-9",0.0939,0.0939,0.0939,0.0549,0.1057,0.0856,0.1162,0.2883,0.0538,0.053,0.053,0.1143,0.1143,0.1046,0.1046,0.1065,0.1065,0.0163,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0326,0.0326,0.0326,0.0326,0.0326,0.0163,0.0163,0.0163,0.0163,0.063,0.063,0.063,0.063,0.063,0.063,0.0684,0.022,0.022,0.1154,0.1154,0.1013,0.0487,0.11,0.0487,0.11,0.0487,0.11,0.052,0.0608,0.0608,0.0608,0.053,0.053,0.053,0.0389,0.0389,0.0389,0.0389,0.0476,0.0476,0.0476,0.0414,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.0381,0.0263,0.0381,0.0701,0.0745,0.0745,0.0745,0.0745,0.0745,0.0745,0.0745,0.0745,0.0745,0.0628,0.0628,0.0628
"W19023-24",0.0311,0.0311,0.0311,0.0802,0.028,0.0297,0.106,0.0538,0.2668,0.0822,0.0822,0.1079,0.1079,0.0909,0.0909,0.0889,0.0889,0.0114,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0227,0.0227,0.0227,0.0227,0.0227,0.0114,0.0114,0.0114,0.0114,0.0423,0.0423,0.0423,0.0423,0.0423,0.0423,0.0355,0.0175,0.0175,0.0451,0.0451,0.0463,0.0261,0.0518,0.0261,0.0518,0.0261,0.0518,0.0322,0.0361,0.0361,0.0361,0.0822,0.0822,0.0822,0.0833,0.0833,0.0833,0.0833,0.0889,0.0889,0.0889,0.0259,0.1079,0.1079,0.1079,0.1079,0.1079,0.1079,0.1079,0.1079,0.1079,0.0786,0.0192,0.0786,0.0838,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.0285,0.0285,0.0285
"W19024-15",0.0409,0.0409,0.0409,0.082,0.1019,0.0462,0.0331,0.053,0.0822,0.2661,0.1429,0.094,0.094,0.1021,0.1021,0.0411,0.0411,0.0132,0.0259,0.0259,0.0259,0.0259,0.0259,0.0259,0.0259,0.0259,0.0264,0.0264,0.0264,0.0264,0.0264,0.0132,0.0132,0.0132,0.0132,0.0361,0.0361,0.0361,0.0361,0.0361,0.0361,0.095,0.0171,0.0171,0.0938,0.0938,0.0294,0.0838,0.0349,0.0838,0.0349,0.0838,0.0349,0.0297,0.0292,0.0292,0.0292,0.1429,0.1429,0.1429,0.0785,0.0785,0.0785,0.0785,0.084,0.084,0.084,0.0237,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.0847,0.015,0.0847,0.0899,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0309,0.0309,0.0309
