"id","PVYR"
"W17037-1","Y"
"W17037-10","N"
"W17037-11","Y"
"W17037-12","Y"
"W17037-13","N"
"W17037-15","N"
"W17037-16","N"
"W17037-17","N"
"W17037-18","N"
"W17037-19","Y"
"W17037-2","N"
"W17037-20","Y"
"W17037-21","N"
"W17037-22","Y"
"W17037-24","N"
"W17037-26","Y"
"W17037-28","N"
"W17037-3","N"
"W17037-34","N"
"W17037-35","N"
"W17037-40","N"
"W17037-41","Y"
"W17037-43","Y"
"W17037-45","Y"
"W17037-49","N"
"W17037-5","Y"
"W17037-55","Y"
"W17037-57","N"
"W17037-6","Y"
"W17037-62","N"
"W17037-65","Y"
"W17037-68","Y"
"W17037-7","Y"
"W17037-73","N"
"W17037-75","Y"
"W17037-77","N"
"W17037-8","N"
"W17037-87","N"
"W17037-89","N"
"W17038-4","N"
"W17039-1","Y"
"W17039-10","N"
"W17039-11","N"
"W17039-12","Y"
"W17039-13","Y"
"W17039-14","N"
"W17039-15","Y"
"W17039-16","Y"
"W17039-17","N"
"W17039-18","N"
"W17039-19","Y"
"W17039-2","N"
"W17039-20","N"
"W17039-21","Y"
"W17039-23","Y"
"W17039-24","Y"
"W17039-26","N"
"W17039-27","N"
"W17039-28","N"
"W17039-29","Y"
"W17039-3","N"
"W17039-30","N"
"W17039-31","Y"
"W17039-4","Y"
"W17039-44","Y"
"W17039-49","Y"
"W17039-5","Y"
"W17039-6","Y"
"W17039-65","N"
"W17039-68","N"
"W17039-69","Y"
"W17039-7","N"
"W17039-73","N"
"W17039-8","N"
"W17039-9","Y"
"W17040-3","N"
"W17041-3","N"
"W17042-3","N"
"W17042-4","N"
"W17042-5","Y"
"W17042-7","Y"
"W17042-8","N"
"W17043-1","N"
"W17043-21","N"
"W17043-31","Y"
"W17043-37","Y"
"W17043-9","Y"
"W17044-12","N"
"W17044-13","N"
"W17044-14","N"
"W17044-15","N"
"W17044-2","N"
"W17044-24","N"
"W17044-25","N"
"W17044-5","N"
"W17044-6","N"
"W17044-9","N"
"W17045-4","N"
"W17046-2","N"
"W17046-3","Y"
"W17047-10","Y"
"W17047-11","Y"
"W17047-15","N"
"W17047-16","Y"
"W17047-5","Y"
"W17047-6","N"
"W17049-10","Y"
"W17050-6","N"
"W17050-7","N"
"W17051-17","N"
"W17051-9","N"
"W17052-15","N"
"W17052-18","N"
"W17053-14","N"
"W17053-18","N"
"W17055-4","N"
"W17056-5","N"
"W17056-8","N"
"W17057-16","Y"
"W17057-28","N"
"W17057-3","Y"
"W17057-44","Y"
"W17057-5","Y"
"W17057-8","N"
"W17058-5","Y"
"W17060-22","N"
"W17060-24","Y"
"W17060-27","N"
"W17060-30","N"
"W17060-9","Y"
"W17062-1","N"
"W17062-10","N"
"W17062-11","N"
"W17062-17","N"
"W17062-21","N"
"W17062-22","Y"
"W17062-26","N"
"W17062-6","Y"
"W17063-8","N"
"W17064-10","N"
"W17064-19","N"
"W17064-20","N"
"W17064-22","N"
"W17064-25","N"
"W17064-27","N"
"W17064-7","N"
"W17064-8","N"
"W17065-11","N"
"W17065-20","N"
"W17065-21","N"
"W17065-8","N"
"W17066-1","N"
"W17066-11","Y"
"W17066-22","N"
"W17066-26","N"
"W17066-30","Y"
"W17066-34","N"
"W17066-9","N"
"W17067-1","N"
"W17067-13","N"
"W17067-27","Y"
"W17067-7","N"
"W17AF6654-13","N"
"W17AF6654-15","Y"
"W17AF6670-1","Y"
"W17AF6677-8","N"
"W17AF6678-7","N"
"W17AF6684-10","N"
"W17AF6685-2","Y"
"W17AF6686-6","N"
